"year","naps_id","best_lag_a","best_lag_b","best_cor","nonlagged_cor","mean_count"
2021,"090502","pm25_praries","pm25_naps",1,1,8664.4
2021,"090601","pm25_praries","pm25_naps",1,1,8696.8
2021,"090607","pm25_praries","pm25_naps",1,1,8665.4
2021,"090608","pm25_praries","pm25_naps",0.999999167256118,0.999999167256118,8699.2
2021,"090609","pm25_praries","pm25_naps",1,1,8702.2
2021,"090701","pm25_praries","pm25_naps",1,1,8730.2
2021,"090702","pm25_praries","pm25_naps",1,1,8647.2
2021,"090801","pm25_praries","pm25_naps",1,1,8690.4
2021,"090805","pm25_praries","pm25_naps",1,1,8712.8
2021,"090806","pm25_praries","pm25_naps",1,1,8702.2
2021,"090807","pm25_praries","pm25_naps",1,1,8673
2021,"090808","pm25_praries","pm25_naps",1,1,8707.2
2021,"091101","pm25_praries","pm25_naps",1,1,8659.6
2021,"091301","pm25_praries","pm25_naps",1,1,8742.6
2021,"091501","pm25_praries","pm25_naps",1,1,8632.4
2021,"091701","pm25_praries","pm25_naps",1,1,9190.6
2021,"091801","pm25_praries","pm25_naps",1,1,8728.2
2021,"091901","pm25_praries","pm25_naps",1,1,8620.8
2021,"092001","pm25_praries","pm25_naps",1,1,8638
2021,"092201","pm25_praries","pm25_naps",1,1,8701
2021,"092801","pm25_praries","pm25_naps",1,1,8726.2
2021,"092901","pm25_praries","pm25_naps",1,1,9771.8
2021,"093001","pm25_praries","pm25_naps",1,1,7170.2
2021,"093101","pm25_praries","pm25_naps",1,1,8644
2021,"093202","pm25_praries","pm25_naps",1,1,8709.8
2021,"093901","pm25_praries","pm25_naps",1,1,8615
2021,"094001","pm25_praries","pm25_naps",1,1,8558.2
2021,"094301","pm25_praries","pm25_naps",1,1,8089.8
2021,"094401","pm25_praries","pm25_naps",1,1,8571.2
2021,"094601","pm25_praries","pm25_naps",1,1,8688
2022,"080211","pm25_praries","pm25_naps",0.999632227422133,0.999632227422133,8487.6
2022,"080402","pm25_praries","pm25_naps",0.999134595935085,0.999134595935085,8608.4
2022,"080502","pm25_praries","pm25_naps",0.998528285124114,0.998528285124114,8743.6
2022,"081001","pm25_praries","pm25_naps",0.999256410307805,0.999256410307805,8220.6
2022,"082002","pm25_praries","pm25_naps",0.999678415494976,0.999678415494976,8725.8
2022,"090121","pm25_praries","pm25_naps",1,1,8
2022,"090132","pm25_praries","pm25_naps",0.882823616377804,0.882823616377804,18
2022,"090135","pm25_praries","pm25_naps",1,1,8
2022,"090136","pm25_praries","pm25_naps",1,1,8
2022,"090140","pm25_praries","pm25_naps",1,1,8
2022,"090229","pm25_praries","pm25_naps",1,1,8
2022,"090230","pm25_praries","pm25_naps",1,1,8
2022,"090235","pm25_praries","pm25_naps",1,1,8
2022,"090250","pm25_praries","pm25_naps",1,1,8
2022,"090302","pm25_praries","pm25_naps",1,1,8
2022,"090304","pm25_praries","pm25_naps",1,1,8
2022,"090402","pm25_praries","pm25_naps",1,1,8
2022,"090502","pm25_praries","pm25_naps",1,1,8
2022,"090601","pm25_praries","pm25_naps",1,1,8
2022,"090607","pm25_praries","pm25_naps",1,1,8
2022,"090608","pm25_praries","pm25_naps",1,1,8
2022,"090609","pm25_praries","pm25_naps",1,1,8
2022,"090701","pm25_praries","pm25_naps",1,1,8
2022,"090702","pm25_praries","pm25_naps",1,1,8
2022,"090801","pm25_praries","pm25_naps",1,1,8
2022,"090805","pm25_praries","pm25_naps",1,1,8
2022,"090806","pm25_praries","pm25_naps",1,1,8
2022,"090807","pm25_praries","pm25_naps",1,1,8
2022,"090808","pm25_praries","pm25_naps",1,1,8
2022,"091101","pm25_praries","pm25_naps",1,1,8
2022,"091301","pm25_praries","pm25_naps",1,1,8
2022,"091501","pm25_praries","pm25_naps",1,1,8
2022,"091701",NA,NA,NA,NA,8
2022,"091801","pm25_praries","pm25_naps",1,1,8
2022,"091901","pm25_praries","pm25_naps",1,1,8
2022,"092001","pm25_praries","pm25_naps",1,1,8
2022,"092201","pm25_praries","pm25_naps",1,1,8
2022,"092801","pm25_praries","pm25_naps",1,1,8
2022,"092901","pm25_praries","pm25_naps",1,1,10.8
2022,"093101","pm25_praries","pm25_naps",1,1,8
2022,"093202","pm25_praries","pm25_naps",1,1,8
2022,"093901","pm25_praries","pm25_naps",1,1,8
2022,"094001","pm25_praries","pm25_naps",1,1,8
2022,"094301","pm25_praries","pm25_naps",1,1,8
2022,"094401","pm25_praries","pm25_naps",1,1,7
2022,"094601","pm25_praries","pm25_naps",1,1,8
2023,"070118","pm25_praries_lag_1","pm25_naps",1,0.964739257781335,4646.8
